timestamp, system, entity , value (psu)
1625581359.537, lauv-roald, SmartX, 28.259
1625581360.037, lauv-roald, SmartX, 28.285
1625581360.537, lauv-roald, SmartX, 28.300
1625581361.037, lauv-roald, SmartX, 28.323
1625581361.537, lauv-roald, SmartX, 28.377
1625581362.037, lauv-roald, SmartX, 28.390
1625581362.537, lauv-roald, SmartX, 28.349
1625581363.037, lauv-roald, SmartX, 28.347
1625581363.537, lauv-roald, SmartX, 28.351
1625581364.037, lauv-roald, SmartX, 28.360
1625581364.536, lauv-roald, SmartX, 28.386
1625581365.037, lauv-roald, SmartX, 28.401
1625581365.537, lauv-roald, SmartX, 28.419
1625581366.036, lauv-roald, SmartX, 28.429
1625581366.536, lauv-roald, SmartX, 28.444
1625581367.036, lauv-roald, SmartX, 28.457
1625581367.536, lauv-roald, SmartX, 28.459
1625581368.036, lauv-roald, SmartX, 28.448
1625581368.536, lauv-roald, SmartX, 28.449
1625581369.036, lauv-roald, SmartX, 28.447
1625581369.536, lauv-roald, SmartX, 28.456
1625581370.036, lauv-roald, SmartX, 28.438
1625581370.536, lauv-roald, SmartX, 28.404
1625581371.036, lauv-roald, SmartX, 28.370
1625581371.536, lauv-roald, SmartX, 28.356
1625581372.036, lauv-roald, SmartX, 28.350
1625581372.536, lauv-roald, SmartX, 28.333
1625581373.036, lauv-roald, SmartX, 28.322
1625581373.536, lauv-roald, SmartX, 28.300
1625581374.036, lauv-roald, SmartX, 28.284
1625581374.536, lauv-roald, SmartX, 28.260
1625581375.036, lauv-roald, SmartX, 28.228
1625581375.536, lauv-roald, SmartX, 28.213
1625581376.036, lauv-roald, SmartX, 28.219
1625581376.536, lauv-roald, SmartX, 28.233
1625581377.036, lauv-roald, SmartX, 28.212
1625581377.536, lauv-roald, SmartX, 28.195
1625581378.036, lauv-roald, SmartX, 28.178
1625581378.536, lauv-roald, SmartX, 28.171
1625581379.036, lauv-roald, SmartX, 28.170
1625581379.536, lauv-roald, SmartX, 28.160
1625581380.036, lauv-roald, SmartX, 28.155
1625581380.536, lauv-roald, SmartX, 28.147
1625581381.036, lauv-roald, SmartX, 28.147
1625581381.535, lauv-roald, SmartX, 28.147
1625581382.036, lauv-roald, SmartX, 28.148
1625581382.536, lauv-roald, SmartX, 28.148
1625581383.036, lauv-roald, SmartX, 28.150
1625581383.535, lauv-roald, SmartX, 28.142
1625581384.035, lauv-roald, SmartX, 28.143
1625581384.535, lauv-roald, SmartX, 28.147
1625581385.035, lauv-roald, SmartX, 28.148
1625581385.535, lauv-roald, SmartX, 28.144
1625581386.035, lauv-roald, SmartX, 28.142
1625581386.535, lauv-roald, SmartX, 28.155
1625581387.036, lauv-roald, SmartX, 28.152
1625581387.535, lauv-roald, SmartX, 28.145
1625581388.035, lauv-roald, SmartX, 28.149
1625581388.535, lauv-roald, SmartX, 28.146
1625581389.036, lauv-roald, SmartX, 28.144
1625581389.535, lauv-roald, SmartX, 28.152
1625581390.036, lauv-roald, SmartX, 28.149
1625581390.535, lauv-roald, SmartX, 28.144
1625581391.037, lauv-roald, SmartX, 28.145
1625581391.535, lauv-roald, SmartX, 28.148
1625581392.035, lauv-roald, SmartX, 28.150
1625581392.535, lauv-roald, SmartX, 28.234
1625581393.035, lauv-roald, SmartX, 28.282
1625581393.535, lauv-roald, SmartX, 28.303
1625581394.035, lauv-roald, SmartX, 28.301
1625581394.536, lauv-roald, SmartX, 28.266
1625581395.035, lauv-roald, SmartX, 28.228
1625581395.535, lauv-roald, SmartX, 28.220
1625581396.034, lauv-roald, SmartX, 28.216
1625581396.534, lauv-roald, SmartX, 28.284
1625581397.034, lauv-roald, SmartX, 28.277
1625581397.534, lauv-roald, SmartX, 28.220
1625581398.034, lauv-roald, SmartX, 28.212
1625581398.534, lauv-roald, SmartX, 28.179
1625581399.034, lauv-roald, SmartX, 28.177
1625581399.534, lauv-roald, SmartX, 28.165
1625581400.034, lauv-roald, SmartX, 28.148
1625581400.534, lauv-roald, SmartX, 28.142
1625581401.034, lauv-roald, SmartX, 28.145
1625581401.534, lauv-roald, SmartX, 28.142
1625581402.034, lauv-roald, SmartX, 28.127
1625581402.534, lauv-roald, SmartX, 28.135
1625581403.034, lauv-roald, SmartX, 28.142
1625581403.534, lauv-roald, SmartX, 28.140
1625581404.034, lauv-roald, SmartX, 28.146
1625581404.534, lauv-roald, SmartX, 28.143
1625581405.034, lauv-roald, SmartX, 28.144
1625581405.534, lauv-roald, SmartX, 28.146
1625581406.034, lauv-roald, SmartX, 28.140
1625581406.534, lauv-roald, SmartX, 28.138
1625581407.034, lauv-roald, SmartX, 28.138
1625581407.534, lauv-roald, SmartX, 28.146
1625581408.034, lauv-roald, SmartX, 28.140
1625581408.534, lauv-roald, SmartX, 28.140
1625581409.034, lauv-roald, SmartX, 28.140
1625581409.534, lauv-roald, SmartX, 28.145
1625581410.036, lauv-roald, SmartX, 28.147
1625581410.534, lauv-roald, SmartX, 28.146
1625581411.034, lauv-roald, SmartX, 28.145
1625581411.534, lauv-roald, SmartX, 28.143
1625581412.033, lauv-roald, SmartX, 28.139
1625581412.534, lauv-roald, SmartX, 28.138
1625581413.033, lauv-roald, SmartX, 28.134
1625581413.533, lauv-roald, SmartX, 28.124
1625581414.033, lauv-roald, SmartX, 28.125
1625581414.533, lauv-roald, SmartX, 28.123
1625581415.033, lauv-roald, SmartX, 28.126
1625581415.533, lauv-roald, SmartX, 28.125
1625581416.033, lauv-roald, SmartX, 28.125
1625581416.533, lauv-roald, SmartX, 28.129
1625581417.033, lauv-roald, SmartX, 28.129
1625581417.533, lauv-roald, SmartX, 28.129
1625581418.033, lauv-roald, SmartX, 28.130
1625581418.533, lauv-roald, SmartX, 28.130
1625581419.033, lauv-roald, SmartX, 28.131
1625581419.533, lauv-roald, SmartX, 28.132
1625581420.033, lauv-roald, SmartX, 28.133
1625581420.533, lauv-roald, SmartX, 28.131
1625581421.033, lauv-roald, SmartX, 28.132
1625581421.533, lauv-roald, SmartX, 28.143
1625581422.033, lauv-roald, SmartX, 28.178
1625581422.533, lauv-roald, SmartX, 28.194
1625581423.033, lauv-roald, SmartX, 28.207
1625581423.533, lauv-roald, SmartX, 28.225
1625581424.032, lauv-roald, SmartX, 28.240
1625581424.533, lauv-roald, SmartX, 28.234
1625581425.032, lauv-roald, SmartX, 28.220
1625581425.534, lauv-roald, SmartX, 28.210
1625581426.033, lauv-roald, SmartX, 28.200
1625581426.534, lauv-roald, SmartX, 28.188
1625581427.033, lauv-roald, SmartX, 28.178
1625581427.532, lauv-roald, SmartX, 28.189
1625581428.032, lauv-roald, SmartX, 28.190
1625581428.532, lauv-roald, SmartX, 28.202
1625581429.032, lauv-roald, SmartX, 28.210
1625581429.532, lauv-roald, SmartX, 28.228
1625581430.032, lauv-roald, SmartX, 28.223
1625581430.532, lauv-roald, SmartX, 28.223
1625581431.032, lauv-roald, SmartX, 28.236
1625581431.532, lauv-roald, SmartX, 28.245
