timestamp, system, entity , validity (enumerated), location, beam_config, value (m)
1625581181.954, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.218
1625581181.954, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.961
1625581181.954, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.985
1625581181.954, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.550
1625581182.155, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.996
1625581182.155, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.772
1625581182.155, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.155
1625581182.155, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.316
1625581182.155, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.310
1625581182.549, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.648
1625581182.549, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 52.981
1625581182.549, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 52.724
1625581182.549, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.802
1625581182.549, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 50.289
1625581182.756, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.174
1625581182.756, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 52.056
1625581182.756, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 52.518
1625581182.756, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.316
1625581182.756, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 50.016
1625581182.952, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.071
1625581182.952, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 51.439
1625581182.952, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 52.261
1625581182.952, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.573
1625581182.952, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.836
1625581183.353, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.046
1625581183.353, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.976
1625581183.353, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.565
1625581183.353, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.366
1625581183.353, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.488
1625581183.553, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.291
1625581183.553, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.165
