timestamp, system, entity , value (°c)
1625581194.345, lauv-roald, Power Supply, 26.000
1625581194.548, lauv-roald, SmartX, 16.715
1625581194.555, lauv-roald, DVL, 16.758
1625581194.730, lauv-roald, Oxygen Sensor, 16.612
1625581194.753, lauv-roald, DVL, 16.766
1625581194.844, lauv-roald, Power Supply, 26.500
1625581194.952, lauv-roald, Mainboard (Core), 48.937
1625581194.952, lauv-roald, Mainboard (SuperIO), 42.562
1625581194.952, lauv-roald, Mainboard (Board), 40.312
1625581194.954, lauv-roald, DVL, 16.763
1625581195.047, lauv-roald, Power Supply, 26.000
1625581195.048, lauv-roald, SmartX, 16.742
1625581195.245, lauv-roald, Power Supply, 26.500
1625581195.255, lauv-roald, Power Supply, 26.500
1625581195.355, lauv-roald, DVL, 16.762
1625581195.446, lauv-roald, Power Supply, 26.500
1625581195.548, lauv-roald, SmartX, 16.687
1625581195.550, lauv-roald, DVL, 16.761
1625581195.645, lauv-roald, Power Supply, 26.500
1625581195.713, lauv-roald, Motor Controller (MCU), 29.000
1625581195.713, lauv-roald, Motor Controller (Bridge), 34.000
1625581195.713, lauv-roald, Motor, 37.000
1625581195.730, lauv-roald, Oxygen Sensor, 16.671
1625581195.753, lauv-roald, DVL, 16.768
1625581195.952, lauv-roald, Mainboard (Core), 48.937
1625581195.952, lauv-roald, Mainboard (SuperIO), 42.562
1625581195.952, lauv-roald, Mainboard (Board), 40.312
1625581196.048, lauv-roald, SmartX, 16.616
1625581196.146, lauv-roald, Power Supply, 26.500
1625581196.155, lauv-roald, DVL, 16.781
1625581196.278, lauv-roald, Power Supply, 26.500
1625581196.286, lauv-roald, Power Supply, 26.500
1625581196.347, lauv-roald, Power Supply, 26.500
1625581196.353, lauv-roald, DVL, 16.790
1625581196.545, lauv-roald, Power Supply, 26.000
1625581196.548, lauv-roald, SmartX, 16.625
1625581196.552, lauv-roald, DVL, 16.791
1625581196.730, lauv-roald, Oxygen Sensor, 16.674
1625581196.747, lauv-roald, Power Supply, 26.500
1625581196.936, lauv-roald, DVL, 16.794
1625581196.947, lauv-roald, Power Supply, 26.500
1625581196.952, lauv-roald, Mainboard (Core), 48.812
1625581196.952, lauv-roald, Mainboard (SuperIO), 42.500
1625581196.952, lauv-roald, Mainboard (Board), 40.250
1625581197.048, lauv-roald, SmartX, 16.643
1625581197.136, lauv-roald, DVL, 16.787
1625581197.309, lauv-roald, Power Supply, 26.500
1625581197.317, lauv-roald, Power Supply, 26.500
1625581197.336, lauv-roald, DVL, 16.790
1625581197.446, lauv-roald, Power Supply, 26.500
1625581197.548, lauv-roald, SmartX, 16.611
1625581197.647, lauv-roald, Power Supply, 26.000
1625581197.730, lauv-roald, Oxygen Sensor, 16.645
1625581197.755, lauv-roald, DVL, 16.784
1625581197.812, lauv-roald, Motor Controller (MCU), 29.000
1625581197.812, lauv-roald, Motor Controller (Bridge), 34.000
1625581197.812, lauv-roald, Motor, 37.000
1625581197.848, lauv-roald, Power Supply, 26.500
1625581197.952, lauv-roald, Mainboard (Core), 48.812
1625581197.952, lauv-roald, Mainboard (SuperIO), 42.500
1625581197.952, lauv-roald, Mainboard (Board), 40.250
1625581197.954, lauv-roald, DVL, 16.786
1625581198.048, lauv-roald, SmartX, 16.603
1625581198.049, lauv-roald, Power Supply, 26.500
1625581198.154, lauv-roald, DVL, 16.779
1625581198.247, lauv-roald, Power Supply, 26.500
1625581198.342, lauv-roald, Power Supply, 26.500
1625581198.349, lauv-roald, Power Supply, 26.500
1625581198.547, lauv-roald, SmartX, 16.597
1625581198.556, lauv-roald, DVL, 16.780
1625581198.730, lauv-roald, Oxygen Sensor, 16.629
1625581198.748, lauv-roald, Power Supply, 26.000
1625581198.762, lauv-roald, DVL, 16.777
1625581198.948, lauv-roald, Power Supply, 26.500
1625581198.952, lauv-roald, Mainboard (Core), 49.062
1625581198.952, lauv-roald, Mainboard (SuperIO), 42.687
1625581198.952, lauv-roald, Mainboard (Board), 40.250
1625581198.952, lauv-roald, DVL, 16.777
1625581199.048, lauv-roald, SmartX, 16.578
1625581199.147, lauv-roald, Power Supply, 26.500
1625581199.347, lauv-roald, Power Supply, 26.500
1625581199.353, lauv-roald, DVL, 16.766
1625581199.374, lauv-roald, Power Supply, 26.500
1625581199.381, lauv-roald, Power Supply, 26.500
1625581199.548, lauv-roald, SmartX, 16.591
1625581199.549, lauv-roald, Power Supply, 26.500
1625581199.554, lauv-roald, DVL, 16.764
1625581199.730, lauv-roald, Oxygen Sensor, 16.606
1625581199.754, lauv-roald, DVL, 16.761
1625581199.912, lauv-roald, Motor Controller (MCU), 29.000
1625581199.912, lauv-roald, Motor Controller (Bridge), 34.000
1625581199.912, lauv-roald, Motor, 37.000
1625581199.952, lauv-roald, Mainboard (Core), 49.062
1625581199.952, lauv-roald, Mainboard (SuperIO), 42.687
1625581199.952, lauv-roald, Mainboard (Board), 40.250
1625581200.047, lauv-roald, SmartX, 16.549
1625581200.049, lauv-roald, Power Supply, 26.500
1625581200.152, lauv-roald, DVL, 16.750
1625581200.248, lauv-roald, Power Supply, 26.000
1625581200.350, lauv-roald, DVL, 16.748
1625581200.406, lauv-roald, Power Supply, 26.500
1625581200.413, lauv-roald, Power Supply, 26.500
1625581200.449, lauv-roald, Power Supply, 26.500
1625581200.547, lauv-roald, SmartX, 16.571
1625581200.552, lauv-roald, DVL, 16.747
1625581200.649, lauv-roald, Power Supply, 26.000
1625581200.730, lauv-roald, Oxygen Sensor, 16.586
1625581200.848, lauv-roald, Power Supply, 26.500
1625581200.952, lauv-roald, Mainboard (Core), 49.062
1625581200.952, lauv-roald, Mainboard (SuperIO), 42.562
1625581200.952, lauv-roald, Mainboard (Board), 40.312
1625581200.953, lauv-roald, DVL, 16.733
1625581201.047, lauv-roald, SmartX, 16.621
1625581201.150, lauv-roald, DVL, 16.723
1625581201.348, lauv-roald, Power Supply, 26.500
1625581201.352, lauv-roald, DVL, 16.726
1625581201.437, lauv-roald, Power Supply, 26.500
1625581201.444, lauv-roald, Power Supply, 26.500
1625581201.547, lauv-roald, SmartX, 16.624
1625581201.550, lauv-roald, Power Supply, 26.000
1625581201.730, lauv-roald, Oxygen Sensor, 16.594
1625581201.750, lauv-roald, Power Supply, 26.000
1625581201.753, lauv-roald, DVL, 16.725
1625581201.912, lauv-roald, Motor Controller (MCU), 29.000
1625581201.912, lauv-roald, Motor Controller (Bridge), 34.000
1625581201.912, lauv-roald, Motor, 37.000
1625581201.950, lauv-roald, Power Supply, 26.500
1625581201.952, lauv-roald, Mainboard (Core), 49.062
1625581201.952, lauv-roald, Mainboard (SuperIO), 42.562
1625581201.952, lauv-roald, Mainboard (Board), 40.312
1625581201.952, lauv-roald, DVL, 16.731
1625581202.047, lauv-roald, SmartX, 16.622
1625581202.150, lauv-roald, DVL, 16.733
1625581202.153, lauv-roald, Power Supply, 26.500
1625581202.468, lauv-roald, Power Supply, 26.500
1625581202.476, lauv-roald, Power Supply, 26.500
1625581202.536, lauv-roald, DVL, 16.735
1625581202.547, lauv-roald, SmartX, 16.600
1625581202.649, lauv-roald, Power Supply, 26.500
1625581202.730, lauv-roald, Oxygen Sensor, 16.621
1625581202.737, lauv-roald, DVL, 16.741
1625581202.849, lauv-roald, Power Supply, 26.500
1625581202.952, lauv-roald, Mainboard (Core), 48.937
1625581202.952, lauv-roald, Mainboard (SuperIO), 42.687
1625581202.952, lauv-roald, Mainboard (Board), 40.187
1625581202.954, lauv-roald, DVL, 16.742
1625581203.048, lauv-roald, SmartX, 16.608
1625581203.051, lauv-roald, Power Supply, 26.500
1625581203.250, lauv-roald, Power Supply, 26.500
1625581203.352, lauv-roald, DVL, 16.749
1625581203.451, lauv-roald, Power Supply, 26.500
1625581203.498, lauv-roald, Power Supply, 26.500
1625581203.506, lauv-roald, Power Supply, 26.500
1625581203.547, lauv-roald, SmartX, 16.601
1625581203.553, lauv-roald, DVL, 16.748
1625581203.730, lauv-roald, Oxygen Sensor, 16.620
1625581203.752, lauv-roald, DVL, 16.749
1625581203.951, lauv-roald, Power Supply, 26.000
1625581203.952, lauv-roald, Mainboard (Core), 48.937
1625581203.952, lauv-roald, Mainboard (SuperIO), 42.687
1625581203.952, lauv-roald, Mainboard (Board), 40.187
1625581204.012, lauv-roald, Motor Controller (MCU), 29.000
1625581204.012, lauv-roald, Motor Controller (Bridge), 34.000
1625581204.012, lauv-roald, Motor, 37.000
1625581204.047, lauv-roald, SmartX, 16.577
1625581204.150, lauv-roald, Power Supply, 26.500
1625581204.155, lauv-roald, DVL, 16.746
1625581204.349, lauv-roald, DVL, 16.749
1625581204.351, lauv-roald, Power Supply, 26.500
1625581204.529, lauv-roald, Power Supply, 26.500
1625581204.547, lauv-roald, SmartX, 16.578
1625581204.548, lauv-roald, DVL, 16.745
1625581204.559, lauv-roald, Power Supply, 26.500
1625581204.729, lauv-roald, Oxygen Sensor, 16.603
1625581204.752, lauv-roald, Power Supply, 26.500
1625581204.951, lauv-roald, DVL, 16.739
1625581204.952, lauv-roald, Mainboard (Core), 49.062
1625581204.952, lauv-roald, Mainboard (SuperIO), 42.562
1625581204.952, lauv-roald, Mainboard (Board), 40.375
1625581205.047, lauv-roald, SmartX, 16.548
1625581205.153, lauv-roald, DVL, 16.734
1625581205.251, lauv-roald, Power Supply, 26.500
1625581205.353, lauv-roald, DVL, 16.734
1625581205.451, lauv-roald, Power Supply, 26.500
1625581205.547, lauv-roald, SmartX, 16.546
1625581205.566, lauv-roald, Power Supply, 26.500
1625581205.575, lauv-roald, Power Supply, 26.500
1625581205.654, lauv-roald, Power Supply, 26.000
1625581205.729, lauv-roald, Oxygen Sensor, 16.587
1625581205.753, lauv-roald, DVL, 16.729
1625581205.853, lauv-roald, Power Supply, 26.000
1625581205.952, lauv-roald, Mainboard (Core), 49.062
1625581205.952, lauv-roald, Mainboard (SuperIO), 42.562
1625581205.952, lauv-roald, Mainboard (Board), 40.375
1625581205.955, lauv-roald, DVL, 16.729
1625581206.012, lauv-roald, Motor Controller (MCU), 29.000
1625581206.012, lauv-roald, Motor Controller (Bridge), 34.000
1625581206.012, lauv-roald, Motor, 37.000
1625581206.047, lauv-roald, SmartX, 16.510
1625581206.054, lauv-roald, Power Supply, 26.000
1625581206.155, lauv-roald, DVL, 16.726
1625581206.547, lauv-roald, SmartX, 16.495
1625581206.552, lauv-roald, DVL, 16.710
1625581206.553, lauv-roald, Power Supply, 26.500
1625581206.602, lauv-roald, Power Supply, 26.500
