timestamp, system, entity , value (m)
1625581255.044, lauv-roald, SmartX, 1.224
1625581255.351, lauv-roald, DVL, 0.948
1625581255.544, lauv-roald, SmartX, 1.224
1625581255.553, lauv-roald, DVL, 0.947
1625581255.749, lauv-roald, DVL, 0.945
1625581256.044, lauv-roald, SmartX, 1.224
1625581256.154, lauv-roald, DVL, 0.943
1625581256.348, lauv-roald, DVL, 0.947
1625581256.544, lauv-roald, SmartX, 1.224
1625581256.552, lauv-roald, DVL, 0.949
1625581256.954, lauv-roald, DVL, 0.954
1625581257.044, lauv-roald, SmartX, 1.204
1625581257.158, lauv-roald, DVL, 0.938
1625581257.354, lauv-roald, DVL, 0.940
1625581257.544, lauv-roald, SmartX, 1.214
1625581257.751, lauv-roald, DVL, 0.944
1625581257.951, lauv-roald, DVL, 0.948
1625581258.044, lauv-roald, SmartX, 1.224
1625581258.150, lauv-roald, DVL, 0.941
1625581258.544, lauv-roald, SmartX, 1.214
1625581258.553, lauv-roald, DVL, 0.934
1625581258.755, lauv-roald, DVL, 0.946
1625581258.950, lauv-roald, DVL, 0.948
1625581259.044, lauv-roald, SmartX, 1.214
1625581259.355, lauv-roald, DVL, 0.953
1625581259.544, lauv-roald, SmartX, 1.234
1625581259.553, lauv-roald, DVL, 0.953
1625581259.749, lauv-roald, DVL, 0.953
1625581260.044, lauv-roald, SmartX, 1.214
1625581260.154, lauv-roald, DVL, 0.961
1625581260.350, lauv-roald, DVL, 0.962
1625581260.544, lauv-roald, SmartX, 1.224
1625581260.549, lauv-roald, DVL, 0.959
1625581260.949, lauv-roald, DVL, 0.958
1625581261.044, lauv-roald, SmartX, 1.224
1625581261.154, lauv-roald, DVL, 0.955
1625581261.350, lauv-roald, DVL, 0.962
1625581261.543, lauv-roald, SmartX, 1.244
1625581261.750, lauv-roald, DVL, 0.962
1625581261.951, lauv-roald, DVL, 0.953
1625581262.043, lauv-roald, SmartX, 1.204
1625581262.154, lauv-roald, DVL, 0.953
1625581262.543, lauv-roald, SmartX, 1.224
1625581262.549, lauv-roald, DVL, 0.951
1625581262.750, lauv-roald, DVL, 0.956
1625581262.951, lauv-roald, DVL, 0.954
1625581263.044, lauv-roald, SmartX, 1.214
1625581263.355, lauv-roald, DVL, 0.947
1625581263.543, lauv-roald, SmartX, 1.214
1625581263.552, lauv-roald, DVL, 0.942
1625581263.754, lauv-roald, DVL, 0.946
1625581264.043, lauv-roald, SmartX, 1.234
1625581264.155, lauv-roald, DVL, 0.958
1625581264.350, lauv-roald, DVL, 0.953
1625581264.543, lauv-roald, SmartX, 1.214
1625581264.549, lauv-roald, DVL, 0.951
1625581264.949, lauv-roald, DVL, 0.949
1625581265.043, lauv-roald, SmartX, 1.214
1625581265.155, lauv-roald, DVL, 0.948
1625581265.353, lauv-roald, DVL, 0.945
1625581265.543, lauv-roald, SmartX, 1.184
1625581265.753, lauv-roald, DVL, 0.938
1625581265.952, lauv-roald, DVL, 0.931
1625581266.043, lauv-roald, SmartX, 1.214
1625581266.154, lauv-roald, DVL, 0.939
1625581266.543, lauv-roald, SmartX, 1.214
1625581266.556, lauv-roald, DVL, 0.949
1625581266.752, lauv-roald, DVL, 0.948
1625581266.954, lauv-roald, DVL, 0.941
1625581267.043, lauv-roald, SmartX, 1.214
1625581267.355, lauv-roald, DVL, 0.942
1625581267.543, lauv-roald, SmartX, 1.224
1625581267.551, lauv-roald, DVL, 0.954
1625581267.753, lauv-roald, DVL, 0.951
1625581268.043, lauv-roald, SmartX, 1.214
1625581268.147, lauv-roald, DVL, 0.950
1625581268.351, lauv-roald, DVL, 0.949
1625581268.543, lauv-roald, SmartX, 1.224
1625581268.552, lauv-roald, DVL, 0.963
1625581268.952, lauv-roald, DVL, 0.947
1625581269.043, lauv-roald, SmartX, 1.204
1625581269.152, lauv-roald, DVL, 0.949
1625581269.353, lauv-roald, DVL, 0.951
1625581269.543, lauv-roald, SmartX, 1.214
1625581269.751, lauv-roald, DVL, 0.951
1625581269.949, lauv-roald, DVL, 0.951
1625581270.043, lauv-roald, SmartX, 1.224
1625581270.152, lauv-roald, DVL, 0.959
1625581270.543, lauv-roald, SmartX, 1.214
1625581270.552, lauv-roald, DVL, 0.952
1625581270.750, lauv-roald, DVL, 0.945
1625581270.951, lauv-roald, DVL, 0.939
